"uni_lemma","English","Spanish","French"
"baa baa","baa baa","bee/mee","bêê bêê; bêe bêe"
"choo choo","choo choo","tutú","tchou tchou"
"cockadoodledoo","cockadoodledoo","quiquiriquí","cocorico"
"grrr","grrr",NA,"grrrr"
"meow","meow","miau","miaou"
"moo","moo","muu","meuh"
"ouch","ouch","¡ay!","aie; aïe"
"quack quack","quack quack","cuacuá","coin coin; coin-coin"
"uh oh","uh oh",NA,"oh oh; ohoh"
"vroom","vroom",NA,"vroum"
"woof woof","woof woof","guaguá","ouaf ouaf; ouaf-ouaf"
"yum yum","yum yum","¡am!","miam miam; miam-miam"
"alligator","alligator",NA,NA
"animal","animal","animal","animal"
"ant","ant","hormiga","fourmi"
"bear","bear","oso","ours"
"bee","bee","abeja","abeille"
"bird","bird","pájaro","oiseau"
"bug","bug","bicho",NA
"bunny","bunny","conejo","lapin"
"butterfly","butterfly","mariposa","papillon"
"cat","cat","gato","chat"
"chicken (animal)","chicken (animal)",NA,"poule"
"cow","cow","vaca","vache"
"deer","deer","venado","biche"
"dog","dog","perro","chien"
"donkey","donkey","burro","âne"
"duck","duck","pato","canard"
"elephant","elephant","elefante","éléphant"
"fish (animal)","fish (animal)","pescado","poisson"
"frog","frog","rana","grenouille"
"giraffe","giraffe","jirafa","girafe"
"goose","goose","ganso","oie"
"hen","hen","gallina",NA
"horse","horse","caballo","cheval"
"kitty","kitty",NA,"bébé chat"
"lamb","lamb","borrego","agneau"
"lion","lion","león","lion"
"monkey","monkey","mono","singe"
"moose","moose",NA,NA
"mouse","mouse","ratón","souris"
"owl","owl","búho","hibou"
"penguin","penguin","pingüino","pinguoin; pingouin"
"pig","pig","puerco","cochon"
"pony","pony",NA,"poney"
"puppy","puppy",NA,"bébé chien"
"rooster","rooster",NA,"coq"
"sheep","sheep",NA,"mouton"
"squirrel","squirrel","ardilla","écureuil"
"teddybear","teddybear","osito","nounours"
"tiger","tiger","tigre","tigre"
"turkey","turkey","guajolote","dindon"
"turtle","turtle","tortuga","tortue"
"wolf","wolf","lobo","loup"
"zebra","zebra","cebra","zèbre"
"airplane","airplane","avión","avion"
"bicycle","bicycle","bicicleta","vélo"
"boat","boat","barco","bateau"
"bus","bus","autobús","bus"
"car","car","carro/coche","voiture"
"firetruck","firetruck","camión de bombero; camión de bomberos","camion de pompier"
"helicopter","helicopter","helicóptero","hélicoptère"
"motorcycle","motorcycle","moto","moto"
"sled","sled","trineo","traineau; traîneau"
"stroller","stroller","carreola","poussette"
"tractor","tractor","tractor","tracteur"
"train","train","tren","train"
"tricycle","tricycle","triciclo (vehicles); triciclo (toys)","tricycle"
"truck","truck","camión/troca","camion"
"ball","ball","pelota","balle; ballon"
"balloon","balloon","globo/bomba",NA
"bat (object)","bat","bat","raquette"
"blocks","block",NA,"cube"
"book","book","libro","livre"
"bubbles","bubbles","burbujas","bulles"
"chalk","chalk",NA,"craie"
"crayon","crayon","crayolas",NA
"doll","doll","muñeca","poupée"
"game","game",NA,"jeu"
"glue (object)","glue",NA,"colle"
"pen","pen","pluma/plumones",NA
"pencil","pencil",NA,NA
"play dough","play dough",NA,NA
"present","present",NA,"cadeau"
"puzzle","puzzle",NA,"puzzle"
"story","story",NA,"histoire"
"toy (object)","toy (object)","juguete","jouet"
"apple","apple","manzana","pomme"
"applesauce","applesauce",NA,NA
"banana","banana","plátano/banana","banane"
"beans","beans","ejotes; frijoles","haricot"
"bread","bread","pan","baguette; pain"
"butter","butter","mantequilla","beurre"
"cake","cake","pastel","gâteau"
"candy","candy","dulce","bonbons"
"carrot","carrots","zanahoria","carottes; carotte"
"cereal","cereal","cereal","céréales"
"cheerios","cheerios",NA,"cornflakes"
"cheese","cheese","queso","fromage"
"chicken (food)","chicken (food)","pollo","poulet"
"chocolate","chocolate","chocolate","chocolat"
"coffee","coffee","café","café"
"coke","coke",NA,NA
"cookie","cookie","galleta",NA
"corn","corn","elote",NA
"cracker","cracker",NA,"gâteaux apéro"
"pastry","donut","pan dulce","beignet"
"drink (beverage)","drink (beverage)",NA,"boisson"
"egg","egg","huevo","œuf"
"fish (food)","fish (food)","pescado (food_drink)","poisson"
"food","food","comida","nourriture"
"french fries","french fries",NA,"frites"
"grapes","grapes","uvas","raisin"
"green beans","green beans",NA,"haricots verts"
"gum","gum","chicle","chewing-gum"
"hamburger","hamburger","hamburguesa","hamburger"
"ice","ice","hielo","glaçon"
"ice cream","ice cream","helado/nieve","glace"
"jello","jello",NA,NA
"jelly","jelly","gelatina",NA
"juice","juice","jugo","jus de fruit; limonade"
"lollipop","lollipop","paleta","sucette"
"meat","meat","carne","viande"
"melon","melon","melón","melon"
"milk","milk","leche","lait"
"muffin","muffin",NA,"madeleine; petits gâteaux"
"pasta","noodles; spaghetti","espagueti","pâtes; spaghetti"
"nut","nuts",NA,"noisettes"
"orange (food)","orange (food)","naranja","orange"
"pancake","pancake","hot cakes","crêpe"
"peas","peas","chícharo","petits pois; petits pots"
"peanut butter","peanut butter","peanut butter",NA
"pickle","pickle",NA,NA
"pizza","pizza",NA,"pizza"
"popcorn","popcorn","palomitas","pop-corn"
"popsicle","popsicle",NA,"esquimau"
"chips","potato chip","papitas","chips"
"potato","potato","papas","pomme de terre; purée"
"pretzel","pretzel",NA,"bretzel"
"pudding","pudding",NA,"flan"
"pumpkin","pumpkin","calabaza",NA
"raisin","raisin","pasas","raisins secs"
"salt","salt","sal","sel"
"sandwich","sandwich","torta/lonche","sandwich"
"sauce","sauce","salsa","sauce"
"soda","soda/pop","soda/refresco","coca"
"soup","soup","sopa","soupe"
"strawberry","strawberry","fresa","fraise"
"toast","toast",NA,"tartine"
"tuna","tuna","atún","thon"
"vanilla","vanilla","vainilla","vanille"
"vitamin","vitamins","vitaminas","vitamines"
"water (beverage)","water (beverage)","agua","eau"
"yogurt","yogurt","yoghurt","yaourt"
"beads","beads",NA,"perles"
"belt","belt",NA,"ceinture"
"bib","bib","babero","bavoir/bavette"
"boots","boots","botas","bottes"
"button","button","botón","boutons"
"coat","coat","abrigo","manteau"
"diaper","diaper","pañal","couche"
"dress (object)","dress (object)","vestido","robe"
"glove","gloves","guantes","gants"
"hat","hat","gorra; sombrero","chapeau"
"jacket","jacket",NA,"veste"
"jeans","jeans",NA,"jeans"
"mitten","mittens",NA,"moufles"
"necklace","necklace","collar","collier"
"pajamas","pajamas","pijama","pyjama"
"pants","pants","pantalón","pantalon"
"scarf","scarf","bufanda","écharpe"
"shirt","shirt","camisa","chemise"
"shoe","shoe","zapato","chaussure"
"shorts","shorts","shorts","short"
"slipper","slipper","chancla","chausson/pantoufle"
"sneaker","sneaker",NA,"basket"
"snowsuit","snowsuit",NA,"combinaison de ski"
"sock","sock","calcetín; calcetines","chaussettes"
"sweater","sweater","suéter","pull; sweat"
"tights","tights","medias","collants"
"underpants","underpants","calzón","culotte/slip"
"zipper","zipper","cierre",NA
"ankle","ankle",NA,"cheville"
"arm","arm","brazo; brazos","bras"
"belly button","belly button","ombligo","nombril"
"butt","buttocks/bottom*","nalgas","fesses"
"cheek","cheek","cachete","joue"
"chin","chin",NA,"menton"
"ear","ear","oreja; orejas","oreille"
"eye","eye","ojos","yeux"
"face","face","cara","figure/visage; figure"
"finger","finger","dedo; dedos","doigt"
"foot","foot","pies","pied"
"hair","hair","pelo","cheveux"
"hand","hand","mano; manos (body_parts)","main"
"head","head","cabeza","tête"
"knee","knee","rodilla","genou"
"leg","leg","piernas","jambe"
"lip","lips","labios","lèvre"
"mouth","mouth","boca","bouche"
"nose","nose","nariz","nez"
"owie","owie/boo boo",NA,"aïe bobo; bobo"
"penis","penis*","pene","pénis/zizi…"
"shoulder","shoulder","hombro",NA
"toe","toe",NA,"doigt de pieds; doigt de pied"
"tongue","tongue","lengua","langue"
"tooth","tooth","dientes","dent"
"tummy","tummy","panza","ventre"
"vagina","vagina*","vagina","vagin/zezette; vagin/zezette…"
"basket","basket","canasta","panier"
"blanket","blanket","cobija","couverture"
"bottle","bottle","botella/mamila","biberon; bouteille"
"bowl","bowl",NA,"bol"
"box","box","caja","boîte"
"broom","broom","escoba","balai"
"brush (object)","brush","cepillo","brosse"
"bucket","bucket",NA,"seau"
"camera","camera","cámara","appareil photo"
"can (object)","can (object)",NA,NA
"clock","clock",NA,"horloge"
"comb (object)","comb","peine","peigne"
"cup","cup","taza","tasse"
"dish","dish",NA,"plat"
"fork","fork","tenedor","fourchette"
"trash","garbage; trash","basura","ordures; poubelle"
"glass","glass","vasos; vaso","verre"
"glasses","glasses","lentes","lunettes"
"hammer","hammer","martillo","marteau"
"jar","jar",NA,"pot"
"key","keys","llave; llaves","clefs"
"knife","knife","cuchillo","couteau"
"lamp","lamp","lámpara","lampe"
"light (object)","light","luz","lumière"
"medicine","medicine","medicina","médicaments"
"money","money","dinero","argent"
"mop (object)","mop",NA,"serpillère; serpillière"
"nail (object)","nail","clavo","clou"
"napkin","napkin","servilleta","serviette de table"
"paper","paper","hoja/papel; papel","feuille; papier"
"penny","penny",NA,NA
"picture","picture","cuadro",NA
"pillow","pillow","almohada","coussins; oreiller"
"plant","plant","planta","plante"
"plate","plate","plato","assiette"
"purse","purse","bolsa (clothing); bolsa",NA
"radio","radio","radio","radio"
"scissors","scissors","tijeras","ciseaux"
"soap","soap","jabón","savon"
"spoon","spoon","cuchara","cuillère"
"tape (object)","tape","cassette","cassette"
"telephone","telephone","teléfono","téléphone"
"tissue","tissue/kleenex","pañuelo","mouchoir"
"toothbrush","toothbrush","cepillo de dientes","brosse à dent"
"towel","towel","toalla","serviette"
"tray","tray","cubeta","plateau"
"vacuum","vacuum","aspiradora","aspirateur"
"walker","walker",NA,NA
"watch (object)","watch (object)","reloj","montre"
"basement","basement",NA,"cave"
"bathroom","bathroom","baño","salle de bain"
"bathtub","bathtub","tina",NA
"bed","bed","cama","lit"
"bedroom","bedroom","recámara","chambre"
"bench","bench","banco (outside)","banc"
"chair","chair","silla","chaise"
"closet","closet","ropero/closet",NA
"couch","couch; sofa","sillón; sofá","canapé"
"crib","crib","cuna",NA
"door","door","puerta","porte"
"drawer","drawer","cajón","tiroir"
"dryer","dryer","secadora","étendage"
"garage","garage","cochera/garage; cochera/garaje","garage"
"high chair","high chair",NA,"chaise haute"
"kitchen","kitchen","cocina","cuisine"
"living room","living room","sala","salon"
"oven","oven","horno","four"
"play pen","play pen",NA,NA
"porch","porch",NA,NA
"potty","potty","bacinica","wc"
"rocking chair","rocking chair",NA,NA
"refrigerator","refrigerator","refrigerador","frigo"
"room","room","cuarto","pièce"
"shower","shower","regadera/ducha","douche"
"sink","sink","lavabo","évier; lavabo"
"stairs","stairs","escaleras; escalera","escalier"
"stove","stove","estufa",NA
"table","table","mesa","table"
"tv","TV","televisión","télé"
"window","window","ventana","fenêtre"
"washing machine","washing machine","lavadora","machine à laver"
"yard","backyard; yard","patio (places)","cour"
"cloud","cloud","nube","nuage"
"flag","flag","bandera","drapeau"
"flower","flower","flor","fleur"
"garden","garden","jardín","jardin"
"grass","grass","pasto","herbe"
"hose","hose","manguera","tuyau"
"ladder","ladder",NA,"échelle"
"lawn mower","lawn mower",NA,"tondeuse à gazon"
"moon","moon","luna","lune"
"pool","pool","alberca/piscina","piscine"
"rain","rain","lluvia; llover","pluie"
"rock (object)","rock","piedra","rocher; caillou"
"roof","roof","techo","toit"
"sandbox","sandbox",NA,"bac à sable"
"shovel","shovel","pala","pelle"
"sidewalk","sidewalk",NA,"trottoir"
"sky","sky","cielo","ciel"
"slide (object)","slide (object)","resbaladilla","toboggan"
"snow","snow","nieve","neige"
"snowman","snowman","muñeco de nieve","bonhomme de neige"
"sprinkler","sprinkler",NA,NA
"star","star","estrella","étoile"
"stick","stick","palo","baton; bâton"
"stone","stone",NA,"caillou; pierre"
"street","street","calle",NA
"sun","sun","sol","soleil"
"swing (object)","swing (object)","columpio","balançoire"
"tree","tree","árbol","arbre"
"water (not beverage)","water (not beverage)",NA,"eau"
"wind","wind","viento/aire","vent"
"beach","beach","playa","plage"
"camping","camping",NA,"camping"
"church","church*","iglesia/templo","église"
"circus","circus","circo","cirque"
"country","country",NA,"campagne"
"downtown","downtown",NA,"centre-ville; Centre-ville"
"farm","farm","rancho","ferme"
"gas station","gas station",NA,"station-service; station service"
"home","home","casa",NA
"house","house","casa","maison"
"movie","movie","cine","cinéma"
"outside","outside",NA,"dehors"
"park","park","parque","parc"
"party","party","fiesta","fête"
"picnic","picnic",NA,"pique-nique"
"playground","playground",NA,"terrain de jeux"
"school","school","escuela","école"
"store","store","tienda/mercado","magasin"
"forest","woods","bosque","forêt"
"work (place)","work (place)",NA,"travail"
"zoo","zoo","zoológico","zoo"
"aunt","aunt","tía","tante"
"baby","baby","bebé","bébé"
"babysitter","babysitter","nana","nounou"
"babysitter's name","babysitter's name",NA,"nom de la nounou"
"boy","boy","niño","garçon"
"brother","brother","hermano","frère"
"child","child",NA,"enfant"
"clown","clown","payaso","clown"
"cowboy","cowboy",NA,NA
"daddy","daddy*","papá; papá/papi","papa"
"doctor","doctor","doctor","docteur"
"firefighter","fireman",NA,"pompier"
"friend","friend","amiga; amigo","copain/e; copain/ine"
"girl","girl","niña","fille"
"grandma","grandma*","abuela","grand-mère"
"grandpa","grandpa*","abuelo","grand-père"
"lady","lady",NA,"dame"
"mailman","mailman",NA,"facteur"
"man","man","señor","monsieur"
"mommy","mommy*","mamá; mamá/mami","maman"
"nurse","nurse","enfermera","infirmière"
"child's own name","child's own name","(nombre del niño/a)","nom de l'enfant"
"people","people",NA,"gens"
"person","person","persona","personne"
"pet's name","pet's name",NA,"nom de l'animal; nom de l'animal domestique"
"police","police","policía","police"
"sister","sister","hermana","sœur"
"teacher","teacher","maestra","maître/sse"
"uncle","uncle","tío","oncle"
"bath","bath",NA,"bain; baignoire"
"breakfast","breakfast",NA,"petit déjeuner"
"bye","bye","adíos/byebye","au revoir"
"call","call (on phone)",NA,NA
"dinner","dinner",NA,"dîner"
"give me five","give me five!",NA,NA
"gonna get you","gonna get you!",NA,NA
"go potty","go potty",NA,NA
"hello","hello",NA,"allo"
"hi","hi","hola","bonjour; salut; allô"
"lunch","lunch",NA,"déjeuner"
"nap","nap","siesta; hacer la meme","sieste"
"good night","night night","buenas noches","bonne nuit"
"no","no","no","non"
"pattycake","pattycake","tortillitas",NA
"peekaboo","peekaboo",NA,"coucou"
"please","please","por favor","s'il te plait"
"shh","shh/shush/hush","shhh; shh","chut"
"shopping","shopping",NA,"faire les courses"
"snack","snack",NA,NA
"so big","so big!",NA,NA
"thank you","thank you","gracias","merci"
"this little piggy","this little piggy",NA,"ce petit cochon"
"turn around","turn around",NA,NA
"yes","yes","sí","oui"
"bite","bite","morder","mordre"
"blow","blow","soplar","souffler"
"break","break","romper","casser"
"bring","bring","traer(se)","apporter"
"build","build","juntar","construire"
"bump","bump",NA,NA
"buy","buy","comprar","acheter"
"carry","carry","cargar","porter"
"catch","catch",NA,"attraper"
"chase","chase",NA,"courir après"
"clap","clap",NA,NA
"clean (action)","clean (action)",NA,"nettoyer"
"climb","climb","subir(se); subir","grimper"
"close","close","cerrar","fermer"
"cook","cook","cocinar","cuisiner"
"cover (action)","cover","tapar","couvrir"
"cry","cry","llorar","pleurer"
"cut","cut","cortar","couper"
"dance","dance","bailar","danser"
"draw","draw","dibujar","dessiner"
"drink (action)","drink (action)",NA,"boire"
"drive","drive",NA,"conduire"
"drop","drop",NA,NA
"dry (action)","dry (action)","secar(se)","sécher"
"dump","dump",NA,"jeter"
"eat","eat","comer(se)","manger"
"fall","fall","caer(se)","tomber"
"feed","feed",NA,"nourrir"
"find","find","encontrar","trouver"
"finish","finish","terminar; acabar; acabar(se)","finir"
"fit","fit","caber",NA
"fix","fix","arreglar(se)","réparer"
"get","get",NA,NA
"give","give","regalar; dar","donner; donner aller"
"go","go","ir(se)","aller"
"hate","hate",NA,"détester"
"have","have","tener","avoir"
"hear","hear","oír","entendre"
"help","help","ayudar","aider"
"hide","hide","esconder(se)","cacher"
"hit","hit","te voy a pegar...; pegar(se)","se cogner; taper"
"hold","hold","agarrar","tenir"
"hug","hug",NA,"prendre dans ses bras"
"hurry","hurry","apurar(se)","se dépêcher"
"jump","jump","saltar; brincar","sauter"
"kick","kick","patear","donner un coup; donner un coup de pied"
"kiss","kiss","besitos; besar","faire un bisou"
"knock","knock",NA,"frapper à la porte"
"lick","lick",NA,"lécher"
"like","like","gustar","aimer bien"
"listen","listen","escuchar","écouter"
"look","look","mirar","regarder"
"love","love",NA,"aimer"
"make","make",NA,NA
"open (action)","open","abrir","ouvrir"
"paint (action)","paint","pintar","faire de la peinture"
"pick","pick",NA,"ramasser"
"play","play","jugar","jouer"
"pour","pour",NA,"verser"
"pretend","pretend",NA,"faire semblant"
"pull","pull","jalar","tirer"
"push","push","empujar","pousser"
"put","put","meter(se); poner(se)","déposer; mettre"
"read","read","leer","lire"
"ride","ride",NA,"faire du vélo/moto; faire du vélo/de la moto"
"rip","rip",NA,NA
"run","run","correr","courir"
"say","say","decir","dire"
"see","see","ver(se); ver","voir"
"shake","shake",NA,"secouer"
"share","share",NA,"partager"
"show","show","enseñar","montrer"
"sing","sing","cantar","chanter"
"sit","sit","sentar(se)","s'asseoir"
"skate (action)","skate","patinar","faire du patin"
"sleep","sleep","dormir(se)","dormir"
"slide (action)","slide (action)",NA,"glisser"
"smile","smile",NA,"sourire"
"spill","spill",NA,"renverser"
"splash","splash",NA,"éclabousser"
"stand","stand","levantar(se); parar(se)",NA
"stay","stay","quedar(se)","rester"
"stop","stop",NA,"arrêter"
"sweep","sweep","barrer","balayer"
"swim","swim","nadar","nager"
"swing (action)","swing (action)",NA,"balancer"
"take","take","llevar(se); sacar; tomar(se)","prendre"
"talk","talk","platicar","parler"
"taste","taste",NA,"goûter"
"tear","tear",NA,"arracher; déchirer"
"think","think","pensar","penser"
"throw","throw","tirar; aventar",NA
"tickle","tickle","cosquillitas","chatouiller"
"touch","touch","tocar","toucher"
"wait","wait","esperar(se)","attendre; attends"
"wake","wake",NA,"se réveiller"
"walk","walk","andar; caminar","marcher"
"wash","wash","lavar(se)","laver"
"watch (action)","watch (action)","buscar",NA
"wipe","wipe",NA,"essuyer"
"wish","wish",NA,"souhaiter"
"work (action)","work (action)","trabajar","travailler"
"write","write","escribir","écrire"
"all gone","all gone",NA,"parti"
"asleep","asleep",NA,"endormi"
"awake","awake","despierto","être réveillé"
"bad","bad","malo","pas bon"
"better","better","mejor","mieux"
"big","big","grande","grand/e; grand"
"black","black","negro","noir"
"blue","blue","azul","bleu"
"broken","broken","roto","cassé"
"brown","brown",NA,"marron"
